College Name,Undergraduate Pop.,Admit Rate
Educational Technical College-Recinto de Bayamon,383,open admission
A T Still University of Health Sciences,0,not reported
Aaniiih Nakoda College,122,open admission
ABC Beauty Academy,-9999,open admission
ABCO Technology,50,not reported
Abcott Institute,151,open admission
Abdill Career College Inc,20,open admission
Abilene Christian University,3666,58%
-9999,-9999,-9999
Abraham Baldwin Agricultural College,3394,70%
Abraham Lincoln University,30,open admission
Academia Serrant Inc,319,open admission
Academy College,65,open admission
Academy Di Capelli-School of Cosmetology,84,open admission
Academy di Firenze,15,open admission
Academy for Careers and Technology,39,open admission
Academy for Five Element Acupuncture,0,not reported
Academy for Jewish Religion-California,0,not reported
Academy for Nursing and Health Occupations,408,open admission
Academy for Salon Professionals,85,open admission
-9999,-9999,-9999
Academy of Art University,7652,open admission
Academy of Career Training,50,open admission
Academy of Careers and Technology,146,open admission
Academy of Chinese Culture and Health Sciences,0,not reported
Academy of Cosmetology,124,open admission
Academy of Cosmetology,24,open admission
Academy of Cosmetology,31,open admission
Academy of Cosmetology and Esthetics,27,open admission
Academy of Cosmetology and Esthetics NYC,87,open admission
Academy of Esthetics and Cosmetology,35,open admission
Academy of Hair Design-Beaumont,60,open admission
Academy of Hair Design-Grenada,29,open admission
Academy of Hair Design-Jackson,57,open admission
Academy of Hair Design-Jasper,42,open admission
Academy of Hair Design-Las Vegas,239,open admission
Academy of Hair Design-Lufkin,80,open admission
Academy of Hair Design-Oklahoma City,46,open admission
Academy of Hair Design-Pearl,52,open admission
-9999,-9999,-9999
Academy of Hair Design-Springfield,200,open admission
Academy of Hair Technology,87,open admission
Academy of Interactive Entertainment,142,65%
Academy of Interactive Entertainment,61,57%
Academy of Massage and Bodywork,95,open admission
Academy of Natural Therapy Inc,50,open admission
Academy of Professional Cosmetology,67,open admission
Academy of Salon and Spa,58,open admission
Academy of Salon Professionals,53,open admission
Academy of Vocal Arts,0,not reported
Acaydia School of Aesthetics,88,open admission
Access Careers,47,open admission
Ace Cosmetology and Barber Training Center,62,open admission
Ace Institute of Technology,215,open admission
Acupuncture and Integrative Medicine College-Berkeley,0,not reported
Acupuncture and Massage College,37,open admission
Adams State University,1960,99%
Adelphi University,5266,73%
-9999,-9999,-9999
Adirondack Community College,3892,open admission
Adler Graduate School,0,not reported
Adler University,0,not reported
Adrian College,1671,60%
Adrian's College of Beauty Turlock,119,open admission
Adult and Community Education-Hudson,129,83%
Adult and Continuing Education-BCTS,78,open admission
Advance Beauty College,364,open admission
Advance Beauty Techs Academy,81,open admission
Advance Science College,69,open admission
Advanced Barber College and Hair Design,232,open admission
Advanced Beauty College,48,open admission
Advanced Career Institute,352,open admission
Advanced College,44,open admission
Advanced College of Cosmetology,21,open admission
Advanced College-Stockton,14,80%
Advanced Computing Institute,-9999,open admission
-9999,-9999,-9999
Advanced Technical Centers,-9999,open admission
Advanced Technology Institute,464,80%
Advanced Training Associates,101,open admission
Advanced Training Institute,448,open admission
Advanced Welding Institute,42,open admission
Advantage Technical College,95,open admission
Adventist University of Health Sciences,1491,97%
Advertising Art Educational Services DBA School of Advertising Art,211,49%
Aesthetic Science Institute,70,open admission
Aesthetics Institute of Cosmetology,25,open admission
Agnes Scott College,921,66%
AI Miami International University of Art and Design,1419,open admission
Aiken School of Cosmetology and Barbering,66,open admission
Aiken Technical College,2399,open admission
Ailano School of Cosmetology,19,open admission
Aims Community College,5982,open admission
Air Force Institute of Technology-Graduate School of Engineering & Management,0,not reported
Akron School of Practical Nursing,70,84%
Alabama A & M University,5038,90%
Alabama College of Osteopathic Medicine,0,not reported
Alabama School of Nail Technology & Cosmetology,25,open admission
Alabama Southern Community College,982,open admission
Alabama State College of Barber Styling,13,open admission
Alabama State University,4208,98%
Alamance Community College,4184,open admission
Alamo City Barber College,175,open admission
-9999,-9999,-9999
Alaska Bible College,42,open admission
Alaska Career College,430,open admission
Alaska Christian College,74,open admission
Alaska Pacific University,296,86%
